               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10408,            0.018584,            0.090069,           0.0034488,             0.09214,           0.0035483,           0.0013011,            0.080598,            0.013562,            0.088763,            0.070023,           0.0033307,           0.0033307
                   1,            0.062681,            0.014472,            0.085418,           0.0074641,             0.58932,            0.017289,           0.0093911,            0.049107,           0.0096031,            0.087483,            0.039957,           0.0065981,           0.0065981
                   2,            0.050875,             0.01094,            0.084776,           0.0075407,             0.70306,            0.028734,            0.016853,            0.040185,           0.0092304,            0.086232,           0.0098253,           0.0097995,           0.0097995
                   3,            0.042737,           0.0092665,            0.082767,             0.58484,             0.12016,            0.053771,            0.032858,            0.033736,           0.0070242,            0.081967,            0.009703,            0.009703,            0.009703
                   4,            0.038416,           0.0083381,              0.0776,             0.49459,             0.18284,            0.093803,            0.060177,            0.031192,           0.0063331,            0.075142,            0.009703,            0.009703,            0.009703
                   5,             0.03692,           0.0076626,            0.072077,              0.6002,             0.23925,             0.11584,            0.074952,            0.031118,             0.00592,            0.070748,            0.009604,            0.009604,            0.009604
                   6,            0.035452,           0.0073334,            0.067955,             0.51199,             0.31191,             0.13605,            0.091986,            0.028986,           0.0055937,            0.067775,            0.009505,            0.009505,            0.009505
                   7,            0.034784,           0.0069108,            0.065999,             0.39848,             0.33991,             0.14628,            0.099586,            0.027675,           0.0054521,            0.065432,            0.009406,            0.009406,            0.009406
                   8,            0.034427,           0.0067261,            0.063253,             0.28748,             0.38771,              0.1623,             0.11481,            0.027036,           0.0052884,            0.062807,            0.009307,            0.009307,            0.009307
                   9,            0.033759,           0.0065227,            0.061599,             0.31497,             0.40139,             0.17939,             0.12673,            0.026978,           0.0051557,            0.061186,            0.009208,            0.009208,            0.009208
                  10,            0.033407,           0.0065417,            0.060075,             0.29912,             0.41725,             0.20171,             0.14434,            0.026676,           0.0050345,            0.059225,            0.009109,            0.009109,            0.009109
                  11,            0.033047,           0.0062885,             0.05824,              0.2961,             0.40004,             0.20906,             0.14828,            0.026856,           0.0050186,             0.05803,             0.00901,             0.00901,             0.00901
                  12,            0.032429,           0.0061877,            0.057444,             0.23852,             0.42175,             0.22112,             0.15847,            0.025198,           0.0047958,            0.056019,            0.008911,            0.008911,            0.008911
                  13,            0.032158,           0.0061443,            0.056782,              0.2778,             0.43983,             0.22547,              0.1626,            0.025359,           0.0048171,            0.055445,            0.008812,            0.008812,            0.008812
                  14,            0.032062,           0.0060596,            0.055718,             0.21955,             0.44857,             0.23797,             0.17256,             0.02499,            0.004641,            0.054344,            0.008713,            0.008713,            0.008713
                  15,            0.031332,           0.0060074,            0.054518,             0.27081,             0.44651,             0.24557,              0.1774,            0.024937,           0.0046173,            0.053823,            0.008614,            0.008614,            0.008614
                  16,            0.031249,           0.0058668,            0.053607,             0.30927,             0.44557,             0.26018,             0.19007,            0.024229,           0.0045145,            0.052821,            0.008515,            0.008515,            0.008515
                  17,            0.031167,           0.0058502,            0.052795,              0.2852,             0.45489,             0.26933,             0.19971,            0.024032,           0.0044579,            0.051787,            0.008416,            0.008416,            0.008416
                  18,            0.030955,           0.0058121,            0.052005,             0.32296,             0.46466,             0.28052,             0.20974,            0.023452,           0.0044114,            0.051179,            0.008317,            0.008317,            0.008317
                  19,            0.030854,           0.0057245,            0.051533,             0.33453,              0.4681,             0.29073,             0.21775,            0.023168,           0.0043637,            0.050266,            0.008218,            0.008218,            0.008218
                  20,            0.030393,           0.0056933,            0.051181,             0.30672,             0.47105,             0.29525,             0.22107,            0.022978,           0.0043041,            0.049611,            0.008119,            0.008119,            0.008119
                  21,            0.030618,           0.0056751,            0.050325,             0.36411,             0.47944,             0.30366,             0.22792,            0.022919,           0.0042933,            0.048862,             0.00802,             0.00802,             0.00802
                  22,            0.030944,           0.0056602,            0.050208,             0.27195,             0.48536,             0.30807,             0.23262,            0.022715,           0.0042614,            0.048164,            0.007921,            0.007921,            0.007921
                  23,            0.030218,           0.0055143,            0.049105,             0.30037,             0.50134,             0.31771,              0.2399,            0.022543,           0.0041922,            0.047776,            0.007822,            0.007822,            0.007822
                  24,            0.030054,           0.0055961,            0.048654,             0.33486,             0.49827,              0.3214,             0.24361,            0.022203,           0.0041538,            0.047178,            0.007723,            0.007723,            0.007723
                  25,            0.030062,            0.005457,            0.047667,             0.28102,             0.51058,              0.3316,             0.25447,            0.022065,           0.0041089,            0.046476,            0.007624,            0.007624,            0.007624
